# 보충 시드 — CBDB가 누락한 canonical 三國 字(courtesy)·號·諡.
# 출처: 《三國志》 각 傳 첫머리 "字XX" 표기(正史 기준). 별명 정규화 아님 — 각각 독립 PER 표면형.
# require_corpus_occurrence 필터를 거치므로 코퍼스에 실제 등장하는 것만 최종 채택된다.
# 컬럼: surface<TAB>type<TAB>refers_to(메모, 가제티어에는 surface,type만 반영)
孔明	PER	諸葛亮 字
臥龍	PER	諸葛亮 號
武侯	PER	諸葛亮 諡(忠武侯)
玄德	PER	劉備 字
雲長	PER	關羽 字
益德	PER	張飛 字(正史)
翼德	PER	張飛 字(통행)
孟德	PER	曹操 字
仲謀	PER	孫權 字
公瑾	PER	周瑜 字
子龍	PER	趙雲 字
奉先	PER	呂布 字
仲達	PER	司馬懿 字
文若	PER	荀彧 字
公達	PER	荀攸 字
奉孝	PER	郭嘉 字
元直	PER	徐庶 字
士元	PER	龐統 字
鳳雛	PER	龐統 號
伯約	PER	姜維 字
士載	PER	鄧艾 字
士季	PER	鍾會 字
伯言	PER	陸遜 字
子明	PER	呂蒙 字
興霸	PER	甘寧 字
子義	PER	太史慈 字
子瑜	PER	諸葛瑾 字
孝直	PER	法正 字
令明	PER	龐德 字
儁乂	PER	張郃 字
公明	PER	徐晃 字
文謙	PER	樂進 字
文則	PER	于禁 字
仲康	PER	許褚 字
元讓	PER	夏侯惇 字
妙才	PER	夏侯淵 字
子孝	PER	曹仁 字
子廉	PER	曹洪 字
仲德	PER	程昱 字
文和	PER	賈詡 字
公台	PER	陳宮 字
子魚	PER	華歆 字
景興	PER	王朗 字
子元	PER	司馬師 字
子上	PER	司馬昭 字
伯符	PER	孫策 字
文台	PER	孫堅 字
本初	PER	袁紹 字
公路	PER	袁術 字
景升	PER	劉表 字
季玉	PER	劉璋 字
文遠	PER	張遼 字
幼常	PER	馬謖 字
孟起	PER	馬超 字
漢升	PER	黃忠 字
子敬	PER	魯肅 字
德祖	PER	楊脩 字
仲穎	PER	董卓 字
