# 보충 시드 — 《漢書》 (docs/ADDING_A_CORPUS.md §6).
# CBDB는 前漢 커버리지가 빈약 → 큐레이션 시드 + 字-추출이 주력, CBDB는 보조.
# require_corpus_occurrence 필터를 거치므로 코퍼스에 실제 등장하는 것만 최종 채택된다.
# 컬럼: surface<TAB>type<TAB>refers_to(메모, 가제티어에는 surface,type만 반영)
#
# ── ERA: 年號 (西漢 + 新 — docs §6; 출현 필터가 스코핑) ──
建元	ERA	武帝
元光	ERA	武帝
元朔	ERA	武帝
元狩	ERA	武帝
元鼎	ERA	武帝
元封	ERA	武帝
太初	ERA	武帝
天漢	ERA	武帝
太始	ERA	武帝
征和	ERA	武帝
後元	ERA	武帝(文帝·景帝·昭帝도 後元)
始元	ERA	昭帝
元鳳	ERA	昭帝
元平	ERA	昭帝
本始	ERA	宣帝
地節	ERA	宣帝
元康	ERA	宣帝
神爵	ERA	宣帝
五鳳	ERA	宣帝
甘露	ERA	宣帝
黃龍	ERA	宣帝
初元	ERA	元帝
永光	ERA	元帝
建昭	ERA	元帝
竟寧	ERA	元帝
建始	ERA	成帝
河平	ERA	成帝
陽朔	ERA	成帝
鴻嘉	ERA	成帝
永始	ERA	成帝
元延	ERA	成帝
綏和	ERA	成帝
建平	ERA	哀帝
元壽	ERA	哀帝
元始	ERA	平帝
居攝	ERA	孺子嬰(王莽 攝政)
初始	ERA	孺子嬰
始建國	ERA	王莽 新
天鳳	ERA	王莽 新
地皇	ERA	王莽 新
中元	ERA	景帝(中元年)
#
# ── PER: 楚漢·漢初 (高祖 功臣) ──
劉邦	PER	漢高祖(避諱 — 高祖/上/沛公/漢王 지칭 다수)
項羽	PER	項籍 字
項籍	PER	項羽 본명
項梁	PER	項羽 숙부
項伯	PER	項羽 숙부
范增	PER	項羽 모신
呂后	PER	高祖 황후
呂太后	PER	呂后 칭호
蕭何	PER	漢 상국
曹參	PER	漢 상국
張良	PER	漢 모신(留侯)
韓信	PER	漢 대장(淮陰侯)
陳平	PER	漢 모신
周勃	PER	漢 태위
樊噲	PER	漢 장수
灌嬰	PER	漢 장수
夏侯嬰	PER	漢 장수(滕公)
酈食其	PER	漢 변사
酈商	PER	漢 장수
陸賈	PER	漢 변사
叔孫通	PER	漢 의례
婁敬	PER	漢 모신
劉敬	PER	婁敬 사성
彭越	PER	漢 장수(梁王)
英布	PER	漢 장수(淮南王)
黥布	PER	英布 별칭
盧綰	PER	燕王
張耳	PER	趙王
陳餘	PER	趙 모신
田橫	PER	齊 왕족
季布	PER	楚→漢 장수
欒布	PER	漢 신하
周昌	PER	漢 어사대부
王陵	PER	漢 승상
審食其	PER	辟陽侯
紀信	PER	漢 장수
韓王信	PER	韓王 信
傅寬	PER	漢 공신
靳歙	PER	漢 공신
召平	PER	東陵侯
雍齒	PER	什邡侯
任敖	PER	御史大夫
周苛	PER	御史大夫
蒯通	PER	변사
酈生	PER	酈食其 호칭
#
# ── PER: 文景 ──
孝惠	PER	惠帝
惠帝	PER	漢惠帝
孝文	PER	文帝
文帝	PER	漢文帝
孝景	PER	景帝
景帝	PER	漢景帝
竇太后	PER	文帝 황후
賈誼	PER	漢 문신
賈生	PER	賈誼 호칭
鼂錯	PER	漢 어사대부
晁錯	PER	鼂錯 이표기
袁盎	PER	漢 신하
爰盎	PER	袁盎 이표기
周亞夫	PER	漢 태위
竇嬰	PER	魏其侯
田蚡	PER	武安侯
灌夫	PER	漢 장수
張釋之	PER	廷尉
馮唐	PER	漢 신하
申屠嘉	PER	丞相
鄧通	PER	文帝 寵臣
張蒼	PER	丞相
周仁	PER	漢 신하
直不疑	PER	漢 신하
衛綰	PER	丞相
石奮	PER	萬石君
劉濞	PER	吳王(七國之亂)
#
# ── PER: 武帝期 ──
武帝	PER	漢武帝
衛青	PER	大將軍(長平侯)
霍去病	PER	票騎將軍(冠軍侯)
李廣	PER	漢 장수
李陵	PER	李廣 손자
李廣利	PER	貳師將軍
公孫弘	PER	丞相
公孫賀	PER	丞相
公孫敖	PER	將軍
趙破奴	PER	浞野侯
路博德	PER	伏波將軍
韓安國	PER	御史大夫
主父偃	PER	漢 신하
董仲舒	PER	유학자
汲黯	PER	漢 직신
鄭當時	PER	漢 신하
張湯	PER	혹리
趙禹	PER	혹리
杜周	PER	혹리
義縱	PER	혹리
王溫舒	PER	혹리
寧成	PER	혹리
郅都	PER	혹리
減宣	PER	혹리
司馬相如	PER	문인
東方朔	PER	문인
枚乘	PER	문인
枚皋	PER	문인
鄒陽	PER	문인
嚴助	PER	漢 신하
莊助	PER	嚴助 본표기
朱買臣	PER	會稽太守
吾丘壽王	PER	漢 신하
終軍	PER	漢 사신
嚴安	PER	상서자
徐樂	PER	상서자
司馬遷	PER	太史令(史記 저자)
司馬談	PER	太史令(父)
桑弘羊	PER	재정
卜式	PER	재정
兒寬	PER	御史大夫
倪寬	PER	兒寬 이표기
張騫	PER	서역 개척(博望侯)
蘇武	PER	漢 사신(典屬國)
蘇建	PER	蘇武 父
李延年	PER	協律
金日磾	PER	車騎將軍(秺侯)
田仁	PER	漢 신하
任安	PER	漢 신하(報任安書)
劉安	PER	淮南王(淮南子)
劉長	PER	淮南厲王
#
# ── PER: 昭宣 ──
霍光	PER	大將軍(博陸侯)
霍禹	PER	霍光 子
霍山	PER	霍氏
霍雲	PER	霍氏
上官桀	PER	左將軍
上官安	PER	上官桀 子
田千秋	PER	丞相
