# 異體字 정규화 (변이형→표준형). s2t 후 적용. JPVariants(일본 신자체) 역방향 중
# 코퍼스 다수형으로만 통합, 의미상이(才≠纔·御≠禦 등) 제외. scripts/gen_variant_map.py 생성.
爲	為	# 2930→9336
衞	衛	# 290→482
強	彊	# 177→301
戸	戶	# 176→875
絶	絕	# 105→630
撃	擊	# 83→1033
歳	歲	# 53→1200
説	說	# 52→820
皐	皋	# 27→74
呉	吳	# 23→557
歩	步	# 16→150
渉	涉	# 8→186
厠	廁	# 7→19
産	產	# 6→191
聯	連	# 6→311
僞	偽	# 5→55
毎	每	# 4→116
鼈	鱉	# 4→10
楡	榆	# 3→26
芸	藝	# 3→58
醤	醬	# 3→7
巻	卷	# 2→230
収	收	# 2→314
効	效	# 2→180
晩	晚	# 2→42
労	勞	# 1→226
勲	勳	# 1→169
徴	徵	# 1→350
暦	曆	# 1→159
疎	疏	# 1→217
砕	碎	# 1→21
縁	緣	# 1→66
欠	缺	# 1→50
遅	遲	# 1→32
録	錄	# 1→57
髪	髮	# 1→51
