# 異體字 정규화 (변이형→표준형). s2t 후 적용. JPVariants(일본 신자체) 역방향 중
# 코퍼스 다수형으로만 통합, 의미상이(才≠纔·御≠禦 등) 제외. scripts/gen_variant_map.py 생성.
爲	為	# 4476→6450
衞	衛	# 164→280
彊	強	# 90→435
戸	戶	# 64→429
説	說	# 47→511
絶	絕	# 39→498
僞	偽	# 34→78
歳	歲	# 27→907
歩	步	# 26→317
呉	吳	# 17→378
郷	鄉	# 17→593
毎	每	# 14→374
歴	歷	# 13→405
皋	皐	# 13→18
疎	疏	# 12→346
効	效	# 9→151
産	產	# 9→139
芸	藝	# 7→22
録	錄	# 7→218
徴	徵	# 6→501
楡	榆	# 6→39
顔	顏	# 6→113
撃	擊	# 5→916
収	收	# 5→481
聯	連	# 5→434
巻	卷	# 3→57
勅	敕	# 3→132
晩	晚	# 3→32
汚	污	# 3→47
糸	絲	# 2→45
欠	缺	# 2→70
閲	閱	# 2→21
呪	咒	# 1→4
奨	奬	# 1→4
妝	粧	# 1→3
寛	寬	# 1→187
巣	巢	# 1→38
厠	廁	# 1→11
縁	緣	# 1→141
罐	缶	# 1→5
髪	髮	# 1→45
