# 보충 시드 — 《世說新語》 魏晉 名士의 canonical 字(courtesy)·小字(小名)·號·諡, 그리고
#   官+姓 호칭(王丞相·謝太傅 …) 중 자동 추출이 놓치기 쉬운 것(2자 姓·諡 기반 등).
# 출처: 《世說新語》 本文·劉孝標注 도입부 "{姓名}字{字}"·余嘉錫 《世說新語箋疏》(正史 기준 교차확인).
# 별명 정규화 아님 — 名·字·小字·號·諡·官+姓은 각각 독립 PER 표면형(서로 다른 화용 분포 관측이 목적).
# require_corpus_occurrence 필터를 거치므로 코퍼스에 실제 등장하는 것만 최종 채택된다.
# 컬럼: surface<TAB>type<TAB>refers_to(메모, 가제티어에는 surface,type만 반영)

# ── 琅邪 王氏 ──
茂弘	PER	王導 字
阿龍	PER	王導 小字
王丞相	PER	王導 官+姓
處仲	PER	王敦 字
王大將軍	PER	王敦 官+姓
夷甫	PER	王衍 字
平子	PER	王澄 字
逸少	PER	王羲之 字
王右軍	PER	王羲之 官+姓
子敬	PER	王獻之 字
官奴	PER	王獻之 小字
子猷	PER	王徽之 字
子重	PER	王操之 字
徽之	PER	王徽之 名
獻之	PER	王獻之 名

# ── 太原 王氏 ──
仲祖	PER	王濛 字
王長史	PER	王濛 官+姓
懷祖	PER	王述 字
王藍田	PER	王述 봉호+姓(藍田侯)
藍田	PER	王述 봉호(藍田侯)
文度	PER	王坦之 字
孝伯	PER	王恭 字
元達	PER	王忱 字

# ── 陳郡 謝氏 ──
安石	PER	謝安 字
謝太傅	PER	謝安 官+姓
謝公	PER	謝安 호칭(公)
幼度	PER	謝玄 字
謝車騎	PER	謝玄 官+姓
仁祖	PER	謝尚 字
無奕	PER	謝奕 字
萬石	PER	謝萬 字
幼輿	PER	謝鯤 字
玄度	PER	許詢 字
胡兒	PER	謝朗 小字
封胡	PER	謝韶 小字
遏	PER	謝玄 小字
道韞	PER	謝道韞 名(여류 名士)

# ── 譙國 桓氏 ──
桓公	PER	桓溫 호칭(公)
桓宣武	PER	桓溫 諡+姓(宣武)
宣武	PER	桓溫 諡(宣武)
元子	PER	桓溫 字
敬道	PER	桓玄 字
靈寶	PER	桓玄 小字
子野	PER	桓伊 字
叔夏	PER	桓伊 字

# ── 潁川 庾氏 ──
元規	PER	庾亮 字
庾公	PER	庾亮 호칭(公)
庾太尉	PER	庾亮 官+姓
稚恭	PER	庾翼 字
庾征西	PER	庾翼 官+姓

# ── 高平 郗氏 ──
道徽	PER	郗鑒 字
嘉賓	PER	郗超 字
景興	PER	郗超 字

# ── 陳郡 殷氏 ──
殷中軍	PER	殷浩 官+姓
深源	PER	殷浩 字
淵源	PER	殷浩 字(深源 이표기)
洪喬	PER	殷羨 字

# ── 竹林七賢 ──
叔夜	PER	嵇康 字
嵇中散	PER	嵇康 官+姓(中散大夫)
嗣宗	PER	阮籍 字
阮步兵	PER	阮籍 官+姓(步兵校尉)
仲容	PER	阮咸 字
巨源	PER	山濤 字
濬沖	PER	王戎 字
王安豐	PER	王戎 봉호+姓(安豐侯)
子期	PER	向秀 字
伯倫	PER	劉伶 字

# ── 그 밖의 名士 ──
真長	PER	劉惔 字
劉尹	PER	劉惔 官+姓(丹陽尹)
道林	PER	支遁 字
支公	PER	支遁 호칭(公)
林公	PER	支遁 호칭
興公	PER	孫綽 字
次道	PER	何充 字
叔寶	PER	衛玠 字
彥輔	PER	樂廣 字
樂令	PER	樂廣 官+姓(尚書令)
叔則	PER	裴楷 字
士季	PER	鍾會 字
長輿	PER	和嶠 字
伯仁	PER	周顗 字
周侯	PER	周顗 호칭(侯)
太真	PER	溫嶠 字
士行	PER	陶侃 字
陶公	PER	陶侃 호칭(公)
士稚	PER	祖逖 字
彥先	PER	顧榮 字
茂先	PER	張華 字
安仁	PER	潘岳 字
士衡	PER	陸機 字
士龍	PER	陸雲 字
太沖	PER	左思 字
季倫	PER	石崇 字
長文	PER	陳群 字
玄伯	PER	陳泰 字
道萬	PER	司馬昱 字(簡文帝)
簡文	PER	司馬昱 호칭(簡文帝)
會稽王	PER	司馬昱 봉호(즉위 전)
